LogIncome,DistanceToWork,ModeOfTransportation
11.777090211999,0.64545237343559,car
11.1304920898313,0.513520841267514,subway
9.09085581595883,0.814426468563278,subway
10.8755541817049,0.0971832059869966,car
11.8553240233727,0.463713560645511,subway
10.4553132294996,0.589817489604743,subway
10.101922265769,0.187172070539839,bus
11.5119784914645,0.611330146637951,subway
11.1922399143385,0.051941981368346,subway
9.9810156854367,0.575726948453721,bus
11.6310620743426,0.842344701828773,car
11.118885304961,0.499725973621345,subway
10.4977036948433,0.439024887659214,subway
10.6743018008023,0.149057083245688,bus
9.90072035538155,0.0282794508957929,subway
9.79032999230923,0.756669787984348,subway
11.450994559271,0.79610623594284,subway
9.6842006208701,0.29355559441744,bus
11.2899879074096,0.115206746018031,car
11.0045085469251,0.375091630987986,subway
10.6862470763923,0.82889374505677,car
11.5714074032959,0.841776581954761,car
11.4612961673478,0.665238451557799,subway
10.7677360236478,0.960139975886254,subway
10.1242874157525,0.943117892210703,subway
11.0568042298408,0.112699492380728,car
10.6848267693746,0.648287449225586,subway
11.1275944671265,0.48080405167944,car
10.4746813741404,0.0665206919491224,car
11.8590221192118,0.897771225532002,subway
11.1388788738943,0.497230128936991,subway
10.7072196680463,0.771303428858631,car
11.575288042972,0.0603622294239692,subway
11.2661590506599,0.262457464904029,subway
11.2710598879508,0.651069368702479,subway
10.3225094048612,0.133603910449774,bus
11.1847820385735,0.638545736824786,bus
10.4114482941339,0.384943094967874,subway
10.6155955176005,0.7656981256747,car
11.7052187317833,0.652915682156136,subway
10.8083832393275,0.381489065282516,bus
10.7689773135175,0.300018582740438,subway
10.6636595881609,0.340139555506767,subway
10.9218802376761,0.918926536712417,subway
11.7906290193756,0.456266813303239,subway
10.8332308299742,0.442496952598123,subway
8.40622959745023,0.454185819615522,subway
8.85472946529239,0.94528200918664,subway
10.210952406945,0.219118952550175,car
10.0868318465922,0.882402795931734,subway
9.99890749747134,0.0198754228247094,car
11.5318157405751,0.34176488323731,car
10.4991094525226,0.766027445694415,subway
10.1547384702866,0.342803701519393,bus
10.0150531869291,0.618806404154405,subway
11.3308098403495,0.453021162091896,subway
9.89826827363546,0.0101626026279142,subway
11.5344962335711,0.599081167470487,subway
9.74852050048813,0.601568348358472,subway
10.7357408192187,0.649417450961366,subway
11.1050800366807,0.342720632582221,bus
9.99617744712056,0.493299255574885,bus
11.3156417729798,0.70177394525353,bus
10.8655524237072,0.88780260142949,subway
11.4803017309923,0.0550578461561846,subway
10.4452117144912,0.0983619505457304,bus
10.0940330382304,0.649782785472762,car
11.2980688159301,0.764070891236327,car
10.0581057364779,0.98795894159784,subway
10.740025793871,0.125324791415593,car
10.995261837327,0.3644771752026,car
10.7768195125126,0.676230090282253,subway
10.653005178931,0.375758171217492,subway
10.6722578814185,0.863458491467109,subway
11.4902005168113,0.291976750986029,bus
10.8314892192011,0.133474990584297,bus
9.76069105146343,0.672650514427429,subway
11.6310424998025,0.202584980871927,car
10.9705913330856,0.868515198201092,subway
10.5126898804813,0.751157321899609,car
11.4830120249106,0.419379649992969,car
8.94334627482771,0.000231065199416736,bus
10.7968441769066,0.149463732367703,subway
11.1100771071969,0.273834301544268,car
10.3996500064468,0.87242501896288,subway
11.3266458035822,0.601251143911812,car
10.3789182493081,0.321188452831265,subway
10.8710549488704,0.284293074456312,subway
11.1275276730321,0.435315805784207,car
11.612732577171,0.903759051181981,subway
10.8322221124427,0.925105644987009,subway
10.6955328704563,0.505292452205831,bus
11.3241919384826,0.62758180927003,subway
11.6851931722457,0.71926392682241,subway
11.2063933500521,0.0239128813596552,subway
11.3396257482204,0.5749325019969,subway
9.71099573577886,0.0465344640640383,bus
11.6164028475204,0.422531388268483,car
10.8751604967266,0.467734261291993,car
10.4874816396049,0.0226279867559067,subway
10.736590708469,0.0650740424646463,subway
11.7563062641431,0.923956335725144,subway
10.2167001183915,0.53414286394427,subway
10.4924392956005,0.366796468997375,car
11.0105260328417,0.363946179540744,car
10.5516657164196,0.151373665826451,bus
11.4205832014722,0.149608598632666,bus
11.0772947588521,0.350802091637144,bus
10.9008301810541,0.335966095668561,bus
11.3634765217455,0.784027846268716,subway
10.7981794337415,0.486739211626018,subway
9.96361843541849,0.464798012873766,subway
10.6096182856245,0.13125255159679,car
10.5821701620547,0.886391470888295,subway
11.5496738196404,0.674557425628767,car
11.0684592135261,0.835159638023036,subway
10.9369868006959,0.656487934875432,subway
9.96342173586876,0.983916976496475,subway
11.1843634620672,0.979789871891285,subway
11.1819375439465,0.250153013597979,car
